,participants,file_name,date,idx,company_paticipants_yes,other_paticipants_yes,company_name,paraghrph,paraghrph_clean,paraghrph_noun,token,word_count,char_count,sentence_count,avg_word_length,avg_sentence_length,token_len,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,main_tp
6023,Janne Flessum,20130716_GJENSIDIGE_FORSI-_Earnings_Call_2013-7-16_SD000000002773094892.pdf,2013-07-16,372.0,1,0,GJENSIDIGE FORSI-," 19368607  Okay, then, thank you for participating. And we hope to see as many of you as possible on the Group lunch presentation in London tomorrow. Besides that, we wish you all a nice summer. And thank you. And goodbye. personal, non-commercial use. Bloomberg, its suppliers and third-party agents shall have no liability for errors in this transcript or for lost proﬁts, losses, or direct, indirect, incidental, consequential, special or punitive damages in connection with the furnishing, performance or use of such transcript. Neither the information nor any opinion expressed in this transcript constitutes a solicitation of the purchase or sale of securities or commodities. Any opinion expressed in the transcript does not necessarily reﬂect the views of Bloomberg LP. © COPYRIGHT 2022, BLOOMBERG LP. All rights reserved. Any reproduction, redistribution or retransmission is expressly prohibited.",   Okay then thank you for picipating And we hope to see as many of you as possible on the  lunch presentation in London tomorrow Besides that we wish you all a nice summer And thank you And goodbye personal non- use Bloomberg its supprs and third-py agents shall have no liability for errors in this transcript or for lost proﬁts losses or direct indirect incital consequential special or pive damages in connection with the furnishing performance or use of such transcript Neither the information nor any opinion expressed in this transcript constitutes a solicitation of the purchase or sale of securities or commodities Any opinion expressed in the transcript does not necessarily reﬂect the views of Bloomberg LP © COPYRIGHT  BLOOMBERG LP All rights reserved Any reproduction redistribution or retransmission is expressly prohibited,lunch presentation tomorrow summer goodbye non- supprs py agent liability error transcript loss damage connection furnishing performance use transcript information opinion transcript solicitation purchase sale security commodity opinion transcript view © copyright lp right reproduction redistribution retransmission,"['lunch', 'tomorrow', 'summer', 'goodbye', 'supprs', 'agent', 'error', 'transcript', 'damage', 'connection', 'furnish', 'transcript', 'opinion', 'transcript', 'solicitation', 'purchase', 'security', 'commodity', 'opinion', 'transcript', 'copyright', 'lp', 'reproduction', 'redistribution', 'retransmission']",31,251,13,8.096774193548388,2.3846153846153846,25,0.005252106,0.0074303807,0.01525212,0.009356187,0.0034418928,0.005207193,0.007791261,0.007849445,0.008135428,0.011051794,0.008490846,0.010457129,0.009322208,0.0056226472,0.011373174,0.0056376895,0.0076595917,0.012982521,0.009207574,0.0040845405,0.008712082,0.006449013,0.78810436,0.0072898823,0.0059642443,0.007552476,0.010322229,topic_23
10240,Operator,20171109_Poste_Italiane_SpA-_Earnings_Call_2017-11-9_FS000000002425321941.pdf,2017-11-09,275.0,1,1,Poste Italiane,"Company Name Poste Italiane SpA personal, non-commercial use. Bloomberg, its suppliers and third-party agents shall have no liability for errors in this transcript or for lost proﬁts, losses, or direct, indirect, incidental, consequential, special or punitive damages in connection with the furnishing, performance or use of such transcript. Neither the information nor any opinion expressed in this transcript constitutes a solicitation of the purchase or sale of securities or commodities. Any opinion expressed in the transcript does not necessarily reﬂect the views of Bloomberg LP. © COPYRIGHT 2022, BLOOMBERG LP. All rights reserved. Any reproduction, redistribution or retransmission is expressly prohibited. Thank you. That will conclude today's conference call. Thank you for your participation, ladies and gentlemen. You may now disconnect.", Name Poste Italiane SpA personal non- use Bloomberg its supprs and third-py agents shall have no liability for errors in this transcript or for lost proﬁts losses or direct indirect incital consequential special or pive damages in connection with the furnishing performance or use of such transcript Neither the information nor any opinion expressed in this transcript constitutes a solicitation of the purchase or sale of securities or commodities Any opinion expressed in the transcript does not necessarily reﬂect the views of Bloomberg LP © COPYRIGHT  BLOOMBERG LP All rights reserved Any reproduction redistribution or retransmission is expressly prohibited Thank you That will conclude today's conference call Thank you for your picipation ladies and gentlemen You may now disconnect,spa personal non- supprs py agent liability error transcript loss damage connection furnishing performance use transcript information opinion transcript solicitation purchase sale security commodity opinion transcript view © copyright lp right reproduction redistribution retransmission today conference call picipation lady gentleman,"['spa', 'personal', 'supprs', 'agent', 'error', 'transcript', 'damage', 'connection', 'furnish', 'transcript', 'opinion', 'transcript', 'solicitation', 'purchase', 'security', 'commodity', 'opinion', 'transcript', 'copyright', 'lp', 'reproduction', 'redistribution', 'retransmission', 'picipation']",33,262,12,7.9393939393939394,2.75,24,0.005700842,0.0080652265,0.01655525,0.010155572,0.0037359654,0.005652092,0.008456941,0.008520096,0.008830512,0.011996051,0.0092162965,0.011350579,0.01011869,0.006103042,0.01234489,0.0061193695,0.008314021,0.014091738,0.009994262,0.0044335206,0.009456435,0.007000012,0.77000016,0.007912724,0.006473825,0.008197754,0.011204153,topic_23
10173,Operator,20160314_Helvetia_Holding_AG-_Earnings_Call_2016-3-14_FS000000002406735209.pdf,2016-03-14,611.0,1,1,Helvetia Holding,"Company Name Helvetia Holding AG personal, non-commercial use. Bloomberg, its suppliers and third-party agents shall have no liability for errors in this transcript or for lost proﬁts, losses, or direct, indirect, incidental, consequential, special or punitive damages in connection with the furnishing, performance or use of such transcript. Neither the information nor any opinion expressed in this transcript constitutes a solicitation of the purchase or sale of securities or commodities. Any opinion expressed in the transcript does not necessarily reﬂect the views of Bloomberg LP. © COPYRIGHT 2022, BLOOMBERG LP. All rights reserved. Any reproduction, redistribution or retransmission is expressly prohibited. Ladies and gentlemen, the conference is now over. Thank you for choosing Chorus Call and thank you for participating in the conference. You may now disconnect your lines. Good-bye.", Name Helvetia Holding AG personal non- use Bloomberg its supprs and third-py agents shall have no liability for errors in this transcript or for lost proﬁts losses or direct indirect incital consequential special or pive damages in connection with the furnishing performance or use of such transcript Neither the information nor any opinion expressed in this transcript constitutes a solicitation of the purchase or sale of securities or commodities Any opinion expressed in the transcript does not necessarily reﬂect the views of Bloomberg LP © COPYRIGHT  BLOOMBERG LP All rights reserved Any reproduction redistribution or retransmission is expressly prohibited Ladies and gentlemen the conference is now over Thank you for choosing rus Call and thank you for picipating in the conference You may now disconnect your s Good-bye,personal non- supprs py agent liability error transcript loss damage connection furnishing performance use transcript information opinion transcript solicitation purchase sale security commodity opinion transcript view © copyright lp right reproduction redistribution retransmission gentleman conference rus conference s bye,"['personal', 'supprs', 'agent', 'error', 'transcript', 'damage', 'connection', 'furnish', 'transcript', 'opinion', 'transcript', 'solicitation', 'purchase', 'security', 'commodity', 'opinion', 'transcript', 'copyright', 'lp', 'reproduction', 'redistribution', 'retransmission', 'rus', 'bye']",32,256,12,8.0,2.6666666666666665,24,0.005700842,0.0080652265,0.01655525,0.010155572,0.0037359654,0.005652092,0.008456941,0.008520096,0.008830512,0.011996051,0.0092162965,0.011350579,0.01011869,0.006103042,0.01234489,0.0061193695,0.008314021,0.014091738,0.009994262,0.0044335206,0.009456435,0.007000012,0.77000016,0.007912724,0.006473825,0.008197754,0.011204153,topic_23
10874,Peter Brondt,20190710_Tryg_A-S-_Earnings_Call_2019-7-10_DN000000002712955058.pdf,2019-07-10,788.0,1,0,Tryg A-S-," 20399889  Thank you everyone for listening in. We will be in London tomorrow, and then we will have road shows after the summer. You can ﬁnd them in the webcast presentation. And thank you for your attention, and have a great summer. personal, non-commercial use. Bloomberg, its suppliers and third-party agents shall have no liability for errors in this transcript or for lost proﬁts, losses, or direct, indirect, incidental, consequential, special or punitive damages in connection with the furnishing, performance or use of such transcript. Neither the information nor any opinion expressed in this transcript constitutes a solicitation of the purchase or sale of securities or commodities. Any opinion expressed in the transcript does not necessarily reﬂect the views of Bloomberg LP. © COPYRIGHT 2022, BLOOMBERG LP. All rights reserved. Any reproduction, redistribution or retransmission is expressly prohibited. Company Name Tryg A/S",   Thank you everyone for listening in We will be in London tomorrow and then we will have road shows after the summer You can ﬁnd them in the webcast presentation And thank you for your attention and have a great summer personal non- use Bloomberg its supprs and third-py agents shall have no liability for errors in this transcript or for lost proﬁts losses or direct indirect incital consequential special or pive damages in connection with the furnishing performance or use of such transcript Neither the information nor any opinion expressed in this transcript constitutes a solicitation of the purchase or sale of securities or commodities Any opinion expressed in the transcript does not necessarily reﬂect the views of Bloomberg LP © COPYRIGHT  BLOOMBERG LP All rights reserved Any reproduction redistribution or retransmission is expressly prohibited  Name  A/S,tomorrow road show summer webcast presentation attention summer personal non- supprs py agent liability error transcript loss damage connection furnishing performance use transcript information opinion transcript solicitation purchase sale security commodity opinion transcript view © copyright lp right reproduction redistribution retransmission name s,"['tomorrow', 'road', 'summer', 'webcast', 'attention', 'summer', 'personal', 'supprs', 'agent', 'error', 'transcript', 'damage', 'connection', 'furnish', 'transcript', 'opinion', 'transcript', 'solicitation', 'purchase', 'security', 'commodity', 'opinion', 'transcript', 'copyright', 'lp', 'reproduction', 'redistribution', 'retransmission']",34,273,12,8.029411764705882,2.833333333333333,28,0.0042487886,0.0060109445,0.012338486,0.007568861,0.002784383,0.004212456,0.0063028857,0.0063499543,0.0065813055,0.008940554,0.006868827,0.008459489,0.007541374,0.004548545,0.07287768,0.0045607137,0.006196369,0.010502451,0.007448638,0.003304265,0.007047801,0.0052170493,0.7649059,0.005897286,0.004824886,0.006109716,0.008350359,topic_23
10205,Operator,20170323_Baloise_Holding_AG-_Earnings_Call_2017-3-23_FS000000002339844490.pdf,2017-03-23,490.0,1,1,Baloise Holding,"Ladies and gentlemen, the conference is now over. Thank you for choosing Chorus Call, and thank you for participating in the conference. You may now disconnect your lines. Goodbye. personal, non-commercial use. Bloomberg, its suppliers and third-party agents shall have no liability for errors in this transcript or for lost proﬁts, losses, or direct, indirect, incidental, consequential, special or punitive damages in connection with the furnishing, Company Name Baloise Holding AG performance or use of such transcript. Neither the information nor any opinion expressed in this transcript constitutes a solicitation of the purchase or sale of securities or commodities. Any opinion expressed in the transcript does not necessarily reﬂect the views of Bloomberg LP. © COPYRIGHT 2022, BLOOMBERG LP. All rights reserved. Any reproduction, redistribution or retransmission is expressly prohibited.",Ladies and gentlemen the conference is now over Thank you for choosing rus Call and thank you for picipating in the conference You may now disconnect your s Goodbye personal non- use Bloomberg its supprs and third-py agents shall have no liability for errors in this transcript or for lost proﬁts losses or direct indirect incital consequential special or pive damages in connection with the furnishing  Name Baloise Holding AG performance or use of such transcript Neither the information nor any opinion expressed in this transcript constitutes a solicitation of the purchase or sale of securities or commodities Any opinion expressed in the transcript does not necessarily reﬂect the views of Bloomberg LP © COPYRIGHT  BLOOMBERG LP All rights reserved Any reproduction redistribution or retransmission is expressly prohibited,lady gentleman conference rus conference s non- supprs py agent liability error transcript loss damage connection performance use transcript information opinion transcript solicitation purchase sale security commodity opinion transcript view © copyright lp right reproduction redistribution retransmission,"['rus', 'supprs', 'agent', 'error', 'transcript', 'damage', 'connection', 'transcript', 'opinion', 'transcript', 'solicitation', 'purchase', 'security', 'commodity', 'opinion', 'transcript', 'copyright', 'lp', 'reproduction', 'redistribution', 'retransmission']",30,242,12,8.066666666666666,2.5,21,0.0062334207,0.008818689,0.018101858,0.011104316,0.0040849834,0.0061801164,0.009246997,0.009316052,0.009655468,0.013116735,0.010077293,0.012410962,0.011063989,0.006673195,0.013498163,0.0066910475,0.009090726,0.015408203,0.010927937,0.004847705,0.010339866,0.0076539605,0.7485133,0.008651939,0.0070786164,0.008963597,0.0122508565,topic_23
10309,Operator,20210304_Admiral_Group_PLC-_Earnings_Call_2021-3-4_DN000000002952054801.pdf,2021-03-04,601.0,1,1,Admiral Group,"And this concludes the question-and-answer session. Ladies and gentlemen, the conference has now concluded and you may disconnect your telephone. Thank you for joining and have a pleasant day. Goodbye. personal, non-commercial use. Bloomberg, its suppliers and third-party agents shall have no liability for errors in this transcript or for lost proﬁts, losses, or direct, indirect, incidental, consequential, special or punitive damages in connection with the furnishing, performance or use of such transcript. Neither the information nor any opinion expressed Company Name Admiral Group PLC in this transcript constitutes a solicitation of the purchase or sale of securities or commodities. Any opinion expressed in the transcript does not necessarily reﬂect the views of Bloomberg LP. © COPYRIGHT 2022, BLOOMBERG LP. All rights reserved. Any reproduction, redistribution or retransmission is expressly prohibited.",And this concludes the question-and-answer session Ladies and gentlemen the conference has now concluded and you may disconnect your telephone Thank you for joining and have a pleasant day Goodbye personal non- use Bloomberg its supprs and third-py agents shall have no liability for errors in this transcript or for lost proﬁts losses or direct indirect incital consequential special or pive damages in connection with the furnishing performance or use of such transcript Neither the information nor any opinion expressed  Name Admiral  PLC in this transcript constitutes a solicitation of the purchase or sale of securities or commodities Any opinion expressed in the transcript does not necessarily reﬂect the views of Bloomberg LP © COPYRIGHT  BLOOMBERG LP All rights reserved Any reproduction redistribution or retransmission is expressly prohibited,question answer session lady gentleman conference telephone day non- supprs py agent liability error transcript loss damage connection furnishing performance use transcript information opinion transcript solicitation purchase sale security commodity opinion transcript view © copyright lp right reproduction redistribution retransmission,"['session', 'telephone', 'supprs', 'agent', 'error', 'transcript', 'damage', 'connection', 'furnish', 'transcript', 'opinion', 'transcript', 'solicitation', 'purchase', 'security', 'commodity', 'opinion', 'transcript', 'copyright', 'lp', 'reproduction', 'redistribution', 'retransmission']",34,269,12,7.911764705882353,2.833333333333333,23,0.0062334207,0.008818689,0.018101858,0.011104316,0.0040849834,0.0061801164,0.009246997,0.009316052,0.009655468,0.013116735,0.010077293,0.012410962,0.011063989,0.006673195,0.013498163,0.0066910475,0.009090726,0.015408203,0.010927937,0.004847705,0.010339866,0.0076539605,0.7485133,0.008651939,0.0070786164,0.008963597,0.0122508565,topic_23
10114,Operator,20110310_Helvetia_Holding_AG-_Earnings_Call_2011-3-10_RT000000002020487196.pdf,2011-03-10,551.0,1,1,Helvetia Holding,"Ladies and gentlemen, the conference is now over. Thank you for choosing the Chorus Call facility. And thank you for participating in the conference. You may now disconnect your lines. Good bye. personal, non-commercial use. Bloomberg, its suppliers and third-party agents shall have no liability for errors in this transcript or for lost proﬁts, losses, or direct, indirect, incidental, consequential, special or punitive damages in connection with the furnishing, performance or use of such transcript. Neither the information nor any opinion expressed in this transcript constitutes a solicitation of the purchase or sale of securities or commodities. Any opinion expressed in the transcript does not necessarily reﬂect the views of Bloomberg LP. © COPYRIGHT 2022, BLOOMBERG LP. All rights reserved. Any reproduction, redistribution or retransmission is expressly prohibited.",Ladies and gentlemen the conference is now over Thank you for choosing the rus Call facility And thank you for picipating in the conference You may now disconnect your s Good bye personal non- use Bloomberg its supprs and third-py agents shall have no liability for errors in this transcript or for lost proﬁts losses or direct indirect incital consequential special or pive damages in connection with the furnishing performance or use of such transcript Neither the information nor any opinion expressed in this transcript constitutes a solicitation of the purchase or sale of securities or commodities Any opinion expressed in the transcript does not necessarily reﬂect the views of Bloomberg LP © COPYRIGHT  BLOOMBERG LP All rights reserved Any reproduction redistribution or retransmission is expressly prohibited,lady gentleman conference rus call facility conference s non- supprs py agent liability error transcript loss damage connection furnishing performance use transcript information opinion transcript solicitation purchase sale security commodity opinion transcript view © copyright lp right reproduction redistribution retransmission,"['rus', 'facility', 'supprs', 'agent', 'error', 'transcript', 'damage', 'connection', 'furnish', 'transcript', 'opinion', 'transcript', 'solicitation', 'purchase', 'security', 'commodity', 'opinion', 'transcript', 'copyright', 'lp', 'reproduction', 'redistribution', 'retransmission']",32,257,13,8.03125,2.4615384615384617,23,0.0062334207,0.008818689,0.018101858,0.011104316,0.0040849834,0.0061801164,0.009246997,0.009316052,0.009655468,0.013116735,0.010077293,0.012410962,0.011063989,0.006673195,0.013498163,0.0066910475,0.009090726,0.015408203,0.010927937,0.004847705,0.010339866,0.0076539605,0.7485133,0.008651939,0.0070786164,0.008963597,0.0122508565,topic_23
10115,Operator,20110322_Baloise_Holding_AG-_Earnings_Call_2011-3-22_SD000000002768165258.pdf,2011-03-22,856.0,1,1,Baloise Holding,"Ladies and gentlemen, the conference is now over. Thank you for choosing the Chorus Call facility and thank you for participating the conference. You may now disconnect your line. Good bye. personal, non-commercial use. Bloomberg, its suppliers and third-party agents shall have no liability for errors in this transcript or for lost proﬁts, losses, or direct, indirect, incidental, consequential, special or punitive damages in connection with the furnishing, performance or use of such transcript. Neither the information nor any opinion expressed in this transcript constitutes a solicitation of the purchase or sale of securities or commodities. Any opinion expressed in the transcript does not necessarily reﬂect the views of Bloomberg LP. © COPYRIGHT 2022, BLOOMBERG LP. All rights reserved. Any reproduction, redistribution or retransmission is expressly prohibited.",Ladies and gentlemen the conference is now over Thank you for choosing the rus Call facility and thank you for picipating the conference You may now disconnect your  Good bye personal non- use Bloomberg its supprs and third-py agents shall have no liability for errors in this transcript or for lost proﬁts losses or direct indirect incital consequential special or pive damages in connection with the furnishing performance or use of such transcript Neither the information nor any opinion expressed in this transcript constitutes a solicitation of the purchase or sale of securities or commodities Any opinion expressed in the transcript does not necessarily reﬂect the views of Bloomberg LP © COPYRIGHT  BLOOMBERG LP All rights reserved Any reproduction redistribution or retransmission is expressly prohibited,lady gentleman conference rus facility conference non- supprs py agent liability error transcript loss damage connection furnishing performance use transcript information opinion transcript solicitation purchase sale security commodity opinion transcript view © copyright lp right reproduction redistribution retransmission,"['rus', 'facility', 'supprs', 'agent', 'error', 'transcript', 'damage', 'connection', 'furnish', 'transcript', 'opinion', 'transcript', 'solicitation', 'purchase', 'security', 'commodity', 'opinion', 'transcript', 'copyright', 'lp', 'reproduction', 'redistribution', 'retransmission']",32,257,12,8.03125,2.6666666666666665,23,0.0062334207,0.008818689,0.018101858,0.011104316,0.0040849834,0.0061801164,0.009246997,0.009316052,0.009655468,0.013116735,0.010077293,0.012410962,0.011063989,0.006673195,0.013498163,0.0066910475,0.009090726,0.015408203,0.010927937,0.004847705,0.010339866,0.0076539605,0.7485133,0.008651939,0.0070786164,0.008963597,0.0122508565,topic_23
10284,Operator,20191106_Poste_Italiane_SpA-_Earnings_Call_2019-11-6_RT000000002897237876.pdf,2019-11-06,383.0,1,1,Poste Italiane,"Thank you. Ladies and gentlemen, that does conclude your webcast for today. Thank you for participating, and you may now all disconnect. personal, non-commercial use. Bloomberg, its suppliers and third-party agents shall have no liability for errors in this transcript or for lost proﬁts, losses, or direct, indirect, incidental, consequential, special or punitive damages in connection with the furnishing, performance or use of such transcript. Neither the information nor any opinion expressed in this transcript constitutes a solicitation of the purchase or sale of securities or commodities. Any opinion expressed in the transcript does not necessarily reﬂect the views of Bloomberg LP. © COPYRIGHT 2022, BLOOMBERG LP. All rights reserved. Any reproduction, redistribution or retransmission is expressly prohibited.",Thank you Ladies and gentlemen that does conclude your webcast for today Thank you for picipating and you may now all disconnect personal non- use Bloomberg its supprs and third-py agents shall have no liability for errors in this transcript or for lost proﬁts losses or direct indirect incital consequential special or pive damages in connection with the furnishing performance or use of such transcript Neither the information nor any opinion expressed in this transcript constitutes a solicitation of the purchase or sale of securities or commodities Any opinion expressed in the transcript does not necessarily reﬂect the views of Bloomberg LP © COPYRIGHT  BLOOMBERG LP All rights reserved Any reproduction redistribution or retransmission is expressly prohibited,gentleman webcast today picipating non- supprs py agent liability error transcript loss damage connection furnishing performance use transcript information opinion transcript solicitation purchase sale security commodity opinion transcript view © copyright lp right reproduction redistribution retransmission,"['webcast', 'picipate', 'supprs', 'agent', 'error', 'transcript', 'damage', 'connection', 'furnish', 'transcript', 'opinion', 'transcript', 'solicitation', 'purchase', 'security', 'commodity', 'opinion', 'transcript', 'copyright', 'lp', 'reproduction', 'redistribution', 'retransmission']",30,242,11,8.066666666666666,2.727272727272727,23,0.0062334207,0.008818689,0.018101858,0.011104316,0.0040849834,0.0061801164,0.009246997,0.009316052,0.009655468,0.013116735,0.010077293,0.012410962,0.011063989,0.006673195,0.013498163,0.0066910475,0.009090726,0.015408203,0.010927937,0.004847705,0.010339866,0.0076539605,0.7485133,0.008651939,0.0070786164,0.008963597,0.0122508565,topic_23
10148,Operator,20140807_ZURICH_INSURANCE-_Earnings_Call_2014-8-7_FS000000002165665955.pdf,2014-08-07,738.0,1,1,ZURICH INSURANCE-,"Ladies and gentlemen, the conference is now over. Thank you for choosing Chorus Call and thanks for participating in the conference. You may now disconnect your lines. Goodbye. personal, non-commercial use. Bloomberg, its suppliers and third-party agents shall have no liability for errors in this transcript or for lost proﬁts, losses, or direct, indirect, incidental, consequential, special or punitive damages in connection with the furnishing, performance or use of such transcript. Neither the information nor any opinion expressed Company Name Zurich Insurance Group AG in this transcript constitutes a solicitation of the purchase or sale of securities or commodities. Any opinion expressed in the transcript does not necessarily reﬂect the views of Bloomberg LP. © COPYRIGHT 2022, BLOOMBERG LP. All rights reserved. Any reproduction, redistribution or retransmission is expressly prohibited.",Ladies and gentlemen the conference is now over Thank you for choosing rus Call and thanks for picipating in the conference You may now disconnect your s Goodbye personal non- use Bloomberg its supprs and third-py agents shall have no liability for errors in this transcript or for lost proﬁts losses or direct indirect incital consequential special or pive damages in connection with the furnishing performance or use of such transcript Neither the information nor any opinion expressed  Name Zuh   AG in this transcript constitutes a solicitation of the purchase or sale of securities or commodities Any opinion expressed in the transcript does not necessarily reﬂect the views of Bloomberg LP © COPYRIGHT  BLOOMBERG LP All rights reserved Any reproduction redistribution or retransmission is expressly prohibited,lady gentleman conference rus thank picipating conference s non- supprs py agent liability error transcript loss damage connection furnishing performance use transcript information opinion transcript solicitation purchase sale security commodity opinion transcript view © copyright lp right reproduction redistribution retransmission,"['rus', 'picipating', 'supprs', 'agent', 'error', 'transcript', 'damage', 'connection', 'furnish', 'transcript', 'opinion', 'transcript', 'solicitation', 'purchase', 'security', 'commodity', 'opinion', 'transcript', 'copyright', 'lp', 'reproduction', 'redistribution', 'retransmission']",32,259,12,8.09375,2.6666666666666665,23,0.0062334207,0.008818689,0.018101858,0.011104316,0.0040849834,0.0061801164,0.009246997,0.009316052,0.009655468,0.013116735,0.010077293,0.012410962,0.011063989,0.006673195,0.013498163,0.0066910475,0.009090726,0.015408203,0.010927937,0.004847705,0.010339866,0.0076539605,0.7485133,0.008651939,0.0070786164,0.008963597,0.0122508565,topic_23
