topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28
0.0016098474,0.028793225,0.0020129906,0.001652143,0.21901281,0.028534222,0.027740141,0.25939605,0.04192982,0.0018574451,0.0013565043,0.04169169,0.08220043,0.0016919109,0.000742555,0.00047719045,0.00035530175,0.0008970493,0.0009996854,0.0016987588,0.015344701,0.1246946,0.1109292,0.0005081183,0.00091664994,0.0008010295,0.00078751997,0.0013683834
0.0008031347,0.0008210639,0.06872201,0.082085535,0.20406787,0.0006918519,0.00029569247,0.0007460207,0.0006029884,0.0009266584,0.12256869,0.00048418896,0.00037821298,0.0008440752,0.0071422276,0.00023806492,0.00017725604,0.00044752777,0.00049873174,0.00084749155,0.14986259,0.19087245,0.0892002,0.07474302,0.00045730628,0.00039962455,0.0003928848,0.00068267103
0.0025411574,0.0025978861,0.046029978,0.64539474,0.002893895,0.0021890532,0.00093558547,0.0023604461,0.0019078847,0.0029319925,0.002141253,0.0015319975,0.0011966844,0.0026706953,0.044024583,0.00075324904,0.00056084676,0.0014159997,0.0015780116,0.045533963,0.002795508,0.003995401,0.025119057,0.0008020689,0.0014469394,0.0012644316,0.0012431068,0.1521436
0.0017022721,0.0017402737,0.05954062,0.11657111,0.0019385641,0.0014664043,0.00062673056,0.48958367,0.001278055,0.0019640848,0.0014343839,0.0010262554,0.0008016357,0.001789047,0.00078518665,0.00050458696,0.00037570036,0.00094855076,0.0010570793,0.0017962881,0.0018726565,0.0026764418,0.0024737548,0.0005372904,0.25932354,0.00084701827,0.0008327331,0.044505987
0.00033251947,0.017162131,0.00041579007,0.00034125577,0.00037867643,0.0002864454,0.00012242468,0.031149553,0.0002496535,0.00038366165,0.014298681,0.51327723,0.06183795,0.011564262,0.00015337727,9.856532e-05,7.3388794e-05,0.0001852886,0.00020648842,0.056424845,0.008776897,0.09584855,0.087397866,0.00010495357,0.00018933718,0.09829489,0.00016266495,0.00028264427
0.003420659,0.0034970222,0.0042772717,0.0035105303,0.0038954802,0.0029466907,0.0012593943,0.0031774032,0.92550915,0.0039467635,0.002882347,0.0020622262,0.0016108603,0.0035950306,0.0015778065,0.0010139507,0.00075495744,0.0019060813,0.0021241659,0.0036095812,0.0037630412,0.0053782207,0.0049709287,0.0010796672,0.0019477294,0.0017020551,0.0016733495,0.0029075881
0.003420659,0.0034970222,0.0042772717,0.0035105303,0.0038954802,0.0029466907,0.0012593943,0.0031774032,0.92550915,0.0039467635,0.002882347,0.0020622262,0.0016108603,0.0035950306,0.0015778065,0.0010139507,0.00075495744,0.0019060813,0.0021241659,0.0036095812,0.0037630412,0.0053782207,0.0049709287,0.0010796672,0.0019477294,0.0017020551,0.0016733495,0.0029075881
0.02969333,0.003218536,0.00393665,0.0032309685,0.0035852627,0.0027120304,0.0011591022,0.0029243699,0.8783511,0.0036324621,0.0026528107,0.0018980004,0.001482579,0.029853813,0.0014521575,0.0009332045,0.0006948362,0.0017542901,0.0019550074,0.0033221315,0.0034633705,0.004949925,0.0045750677,0.0009936878,0.0017926214,0.0015665116,0.001540092,0.0026760418
0.0033247666,0.0033989889,0.0041573653,0.0034121182,0.0037862768,0.0028640851,0.0012240892,0.00308833,0.9275974,0.0038361223,0.002801545,0.002004415,0.0015657025,0.00349425,0.0015335752,0.0009855262,0.0007337934,0.0018526474,0.0020646183,0.0035083925,0.0036575503,0.005227451,0.0048315767,0.0010494005,0.0018931279,0.0016543408,0.00162644,0.0028260788
0.0035222475,0.0036008784,0.0044043,0.0036147877,0.00401117,0.0030342028,0.0012967964,0.0032717672,0.9232969,0.0040639765,0.0029679483,0.0021234711,0.0016587004,0.0037017975,0.001624665,0.0010440635,0.0007773785,0.001962689,0.0021872504,0.0037167803,0.0038747976,0.005537946,0.0051185573,0.0011117317,0.0020055738,0.0017526036,0.0017230455,0.0029939392
