word,prob,k,sort
ping,0.037,0,0
auto,0.035,0,1
retention,0.03,0,2
action,0.026,0,3
description_px_ytd,0.017,0,4
liability,0.017,0,5
renewal,0.016,0,6
profitability,0.016,0,7
catastrophe,0.013,0,8
expectation,0.013,0,9
marketplace,0.012,0,10
production,0.012,0,11
digit,0.011,0,12
exposure,0.011,0,13
outlook,0.011,0,14
agent,0.011,0,15
condition,0.01,0,16
weather,0.01,0,17
activity,0.01,0,18
momentum,0.01,0,19
unwriting,0.01,0,20
worker_compensation,0.009,0,21
experience,0.009,0,22
execution,0.009,0,23
capability,0.009,0,24
unwrite,0.008,0,25
initiative,0.008,0,26
cat,0.008,0,27
efit,0.008,0,28
volume,0.008,0,29
homeowner,0.008,0,30
policy,0.007,0,31
datum,0.007,0,32
progress,0.006,0,33
record,0.006,0,34
ability,0.006,0,35
worker_comp,0.006,0,36
broker,0.006,0,37
adtage,0.006,0,38
objective,0.005,0,39
distribution,0.005,0,40
comment,0.005,0,41
pressure,0.005,0,42
effort,0.005,0,43
class,0.005,0,44
unlye,0.005,0,45
accit,0.005,0,46
excess,0.005,0,47
core,0.005,0,48
selection,0.005,0,49
flow,0.042,1,0
generation,0.027,1,1
revenue,0.017,1,2
sheet,0.016,1,3
progress,0.015,1,4
quality,0.015,1,5
operating,0.014,1,6
inflow,0.014,1,7
strength,0.013,1,8
annuity,0.013,1,9
benefit,0.013,1,10
surplus,0.012,1,11
debt,0.011,1,12
remittance,0.011,1,13
action,0.011,1,14
record,0.011,1,15
track,0.011,1,16
mix,0.011,1,17
contribution,0.01,1,18
fund,0.01,1,19
range,0.01,1,20
protection,0.01,1,21
momentum,0.009,1,22
resince,0.009,1,23
save,0.009,1,24
scale,0.008,1,25
ability,0.008,1,26
priority,0.007,1,27
approach,0.007,1,28
ivery,0.007,1,29
leverage,0.007,1,30
meet,0.007,1,31
force,0.007,1,32
confit,0.007,1,33
franchise,0.006,1,34
volume,0.006,1,35
source,0.006,1,36
confice,0.006,1,37
core,0.005,1,38
outlook,0.005,1,39
outcome,0.005,1,40
base,0.005,1,41
operate,0.005,1,42
friend,0.005,1,43
set,0.005,1,44
driver,0.005,1,45
demerger,0.005,1,46
discip,0.005,1,47
condition,0.005,1,48
efficiency,0.005,1,49
cat,0.068,2,0
renewal,0.04,2,1
catastrophe,0.035,2,2
casualty,0.032,2,3
condition,0.029,2,4
ping,0.027,2,5
program,0.02,2,6
exposure,0.017,2,7
accit,0.013,2,8
unwrite,0.013,2,9
treaty,0.012,2,10
class,0.012,2,11
specialty,0.011,2,12
crop,0.011,2,13
unwriting,0.01,2,14
excess,0.009,2,15
volatility,0.009,2,16
addition,0.008,2,17
activity,0.008,2,18
dollar,0.008,2,19
capacity,0.007,2,20
cnt,0.007,2,21
tail,0.007,2,22
season,0.007,2,23
commission,0.007,2,24
hurane,0.007,2,25
digit,0.007,2,26
uary,0.006,2,27
protection,0.006,2,28
range,0.006,2,29
net,0.006,2,30
pner,0.006,2,31
expectation,0.006,2,32
mix,0.006,2,33
movement,0.006,2,34
contract,0.006,2,35
estimate,0.006,2,36
territory,0.005,2,37
aggregate,0.005,2,38
flood,0.005,2,39
