topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,timepoint
0.048370242,0.052942716,0.054902345,0.05261611,0.046737216,0.06731334,0.062414266,0.065353714,0.06731334,0.051636294,0.051636294,0.056861978,0.06274087,0.050983083,0.04771703,0.048696846,0.049350057,0.062414266,0
0.055926643,0.049247023,0.042567402,0.04985426,0.06442798,0.05349769,0.055926643,0.06260627,0.058962833,0.05653388,0.047425307,0.051068738,0.05774836,0.051675975,0.06685693,0.06746417,0.054104928,0.054104928,1
0.05033436,0.049129467,0.051238026,0.06358817,0.044611122,0.067202844,0.059973493,0.059973493,0.044008676,0.050936803,0.06358817,0.04521357,0.083770104,0.0587686,0.055153925,0.0666004,0.039791554,0.04611724,2
0.0628772,0.05302377,0.049328733,0.065340556,0.05302377,0.0659564,0.046865374,0.04378618,0.04317034,0.062261358,0.057950485,0.062261358,0.06472471,0.049328733,0.059182163,0.05179209,0.057950485,0.05117625,3
0.055540364,0.053899586,0.05417305,0.05417305,0.064564645,0.05444651,0.05171188,0.059095386,0.060462702,0.047609933,0.05444651,0.043507986,0.04979764,0.062376942,0.058274996,0.054719973,0.055813827,0.065385036,4
0.05209192,0.06909522,0.051061414,0.050546166,0.061366446,0.060851194,0.062396947,0.053637672,0.058274936,0.051576667,0.06033594,0.044878397,0.056729183,0.061881695,0.04281739,0.05312242,0.054152925,0.055183426,5
0.055656537,0.050930638,0.06910717,0.059655376,0.06329068,0.060382437,0.054565948,0.04584121,0.05602007,0.053838886,0.055656537,0.05202123,0.050930638,0.05529301,0.05202123,0.0563836,0.05238476,0.05602007,6
0.042878326,0.058530357,0.07129912,0.06594448,0.053999506,0.07171102,0.043702114,0.061413627,0.05070434,0.04988055,0.06512069,0.04782107,0.054411404,0.053175718,0.048644863,0.064296894,0.0449378,0.05152813,7
0.042218257,0.047296353,0.07461302,0.09299923,0.058853403,0.046595927,0.055876587,0.03871612,0.046771035,0.04904742,0.049572743,0.046595927,0.07023535,0.051498916,0.06673321,0.05692723,0.048346993,0.057102334,8
0.048919898,0.057592243,0.066264585,0.05365027,0.05640965,0.049708292,0.05483286,0.056015454,0.04576632,0.060745824,0.039853357,0.06862977,0.058380637,0.063899405,0.053256072,0.051285084,0.05049669,0.0642936,9
0.060511958,0.046689887,0.066794716,0.05961442,0.062127527,0.059973437,0.046689887,0.054947227,0.045253824,0.053152155,0.048125945,0.056742303,0.0639226,0.053331662,0.067871764,0.050100528,0.05045954,0.053690676,10
0.08720687,0.052706424,0.06576064,0.051074646,0.051540866,0.0522402,0.030560868,0.08114598,0.045946203,0.0522402,0.045946203,0.063429534,0.06016598,0.053638868,0.053405758,0.06249709,0.043148868,0.047344867,11
0.055910934,0.059109326,0.058043197,0.06687685,0.049057238,0.05423559,0.048600323,0.06809528,0.068552196,0.042660456,0.04007128,0.049971066,0.043421976,0.050427977,0.07494898,0.07433976,0.052407935,0.04326967,12
0.045614738,0.053062785,0.054516062,0.08103837,0.0467047,0.06523398,0.04888461,0.07976675,0.058512572,0.055061042,0.03961997,0.047612995,0.054879382,0.06087415,0.059057552,0.053062785,0.04942959,0.047068015,13
0.047744296,0.07361346,0.04752782,0.06646967,0.053589214,0.058892928,0.0527233,0.105760485,0.051965624,0.04861021,0.045579515,0.037786294,0.051749147,0.062140103,0.05391393,0.05607871,0.0397346,0.04612071,14
0.061575845,0.059787147,0.06604758,0.046222873,0.047564395,0.051290844,0.048309684,0.09064214,0.07186084,0.039366208,0.044136062,0.052185193,0.045477584,0.05293048,0.05755128,0.08646852,0.04368889,0.03489447,15
0.07708703,0.069252744,0.07351552,0.07662619,0.03134865,0.051049564,0.048745364,0.046786793,0.047938894,0.03607226,0.043100074,0.08204106,0.039298143,0.044828225,0.042178392,0.09333164,0.049206205,0.047593266,16
0.061475772,0.04665708,0.09503575,0.056463566,0.060386162,0.049054224,0.05559188,0.07128226,0.05319474,0.037286438,0.045131627,0.045785394,0.058642786,0.04534955,0.04055527,0.059514474,0.05341266,0.06518044,17
0.050825242,0.046830136,0.078166746,0.05519489,0.05631851,0.06618143,0.062560864,0.06393418,0.07117531,0.03859023,0.04658044,0.050201006,0.043708958,0.044832584,0.045581665,0.07117531,0.057317287,0.050825242,18
0.047840644,0.06126766,0.048024576,0.05372646,0.04728885,0.054094322,0.08241981,0.057221163,0.053174663,0.042690556,0.04839244,0.06347484,0.04967996,0.056853298,0.06972852,0.05372646,0.05814082,0.052255005,19
0.033857018,0.03933107,0.038053792,0.030663822,0.038509965,0.042341802,0.065971464,0.07098934,0.04644734,0.05411101,0.055753227,0.048819426,0.07418254,0.052377563,0.11213598,0.11633275,0.043345377,0.036776513,20
0.048647277,0.056428447,0.04759981,0.051640034,0.042212848,0.068399474,0.052837137,0.048348,0.04969474,0.044607054,0.05553062,0.054782428,0.06735201,0.049994018,0.063311785,0.0803705,0.057026997,0.061216857,21
0.03664475,0.053027373,0.06849985,0.051548388,0.049841862,0.03141141,0.0357346,0.09261872,0.06417666,0.0450636,0.038123734,0.03141141,0.1155999,0.0547339,0.054392595,0.05712303,0.06793101,0.05211723,22
0.04731509,0.05971406,0.044559762,0.068898484,0.06216324,0.05175423,0.037671443,0.0519073,0.07226611,0.057417955,0.04119214,0.047927383,0.08986958,0.044559762,0.04149829,0.0786952,0.050529636,0.052060373,23
0.05553304,0.044995848,0.051176317,0.088867046,0.035573162,0.04347606,0.06546232,0.102646455,0.07093355,0.061004274,0.046718273,0.033445463,0.06292934,0.035370525,0.03607976,0.04469189,0.073871806,0.047224868,24
0.032837935,0.048776627,0.06080981,0.08054846,0.048248857,0.046032216,0.06344867,0.051204376,0.08477063,0.04466001,0.039698962,0.05679875,0.05510988,0.03494902,0.08023179,0.05637653,0.05880428,0.056693196,25
