word,prob,k,sort
meeting,0.047,0,0
proposal,0.04,0,1
agenda,0.024,0,2
website,0.02,0,3
session,0.018,0,4
report,0.018,0,5
room,0.017,0,6
meet,0.016,0,7
minute,0.015,0,8
note,0.015,0,9
notice,0.014,0,10
charge,0.011,0,11
election,0.011,0,12
break,0.01,0,13
webcast,0.01,0,14
hour,0.01,0,15
member,0.009,0,16
board,0.009,0,17
explanation,0.009,0,18
committee,0.009,0,19
vote,0.009,0,20
colleague,0.008,0,21
statement,0.008,0,22
proceed,0.008,0,23
pie,0.008,0,24
person,0.008,0,25
telephone,0.008,0,26
disposal,0.007,0,27
favor,0.007,0,28
screen,0.007,0,29
law,0.007,0,30
topic,0.007,0,31
lunch,0.006,0,32
taxi,0.006,0,33
table,0.006,0,34
floor,0.006,0,35
adce,0.006,0,36
agreement,0.006,0,37
transcript,0.006,0,38
remuneration,0.006,0,39
replay,0.006,0,40
recommendation,0.006,0,41
summary,0.006,0,42
round,0.006,0,43
proxy,0.006,0,44
rule,0.005,0,45
proceeding,0.005,0,46
picture,0.005,0,47
ﬂoor,0.005,0,48
possibility,0.005,0,49
channel,0.063,1,0
agent,0.055,1,1
broker,0.048,1,2
relationship,0.037,1,3
agency,0.033,1,4
bank,0.032,1,5
brand,0.026,1,6
commission,0.022,1,7
force,0.016,1,8
proposition,0.016,1,9
consumer,0.014,1,10
player,0.014,1,11
bancassurance,0.012,1,12
marketing,0.011,1,13
adtage,0.01,1,14
network,0.01,1,15
region,0.009,1,16
insurer,0.009,1,17
offer,0.008,1,18
venture,0.008,1,19
momentum,0.007,1,20
branch,0.007,1,21
capability,0.007,1,22
distributor,0.006,1,23
competition,0.006,1,24
dealer,0.005,1,25
footprint,0.005,1,26
marketplace,0.005,1,27
story,0.005,1,28
worth,0.005,1,29
initiative,0.005,1,30
retention,0.005,1,31
tool,0.005,1,32
launch,0.005,1,33
presence,0.005,1,34
job,0.005,1,35
aggregator,0.004,1,36
shift,0.004,1,37
power,0.004,1,38
digit,0.004,1,39
score,0.004,1,40
success,0.004,1,41
access,0.004,1,42
relet,0.004,1,43
talk,0.004,1,44
traction,0.004,1,45
health,0.004,1,46
intermediary,0.004,1,47
persistency,0.004,1,48
wealth,0.004,1,49
casualty,0.027,2,0
tail,0.027,2,1
budget,0.021,2,2
digit,0.021,2,3
momentum,0.015,2,4
class,0.014,2,5
cycle,0.014,2,6
confit,0.014,2,7
uncertainty,0.013,2,8
accit,0.011,2,9
pick,0.011,2,10
news,0.011,2,11
picture,0.01,2,12
cetera,0.01,2,13
man,0.01,2,14
commentary,0.01,2,15
remark,0.009,2,16
prut,0.009,2,17
topic,0.009,2,18
unwrite,0.009,2,19
adequacy,0.009,2,20
average,0.009,2,21
redundancy,0.008,2,22
unlye,0.008,2,23
excess,0.008,2,24
confice,0.008,2,25
story,0.008,2,26
deterioration,0.008,2,27
bucket,0.008,2,28
nature,0.008,2,29
peer,0.007,2,30
sign,0.007,2,31
headwind,0.007,2,32
indication,0.007,2,33
aviation,0.007,2,34
catastrophe,0.007,2,35
degree,0.006,2,36
review,0.006,2,37
conservatism,0.006,2,38
comfort,0.006,2,39
