word,prob,timepoint,k,sort
ﬁgure,0.014,0,0,0
network,0.011,0,0,1
loan,0.011,0,0,2
layer,0.011,0,0,3
rdr,0.011,0,0,4
energy,0.007,0,0,5
comp,0.007,0,0,6
curve,0.007,0,0,7
territory,0.007,0,0,8
split,0.007,0,0,9
history,0.011,1,0,10
meeting,0.008,1,0,11
paper,0.008,1,0,12
scrip,0.008,1,0,13
employee,0.008,1,0,14
jail,0.008,1,0,15
wind,0.008,1,0,16
succession,0.008,1,0,17
arrangement,0.008,1,0,18
ehquake,0.004,1,0,19
ﬁgure,0.009,2,0,20
picipation,0.009,2,0,21
injury,0.009,2,0,22
quile,0.009,2,0,23
energy,0.004,2,0,24
policyhol,0.004,2,0,25
incentive,0.004,2,0,26
support,0.004,2,0,27
round,0.004,2,0,28
reinsurer,0.004,2,0,29
circumstance,0.014,3,0,30
hedge,0.009,3,0,31
midterm,0.009,3,0,32
reform,0.009,3,0,33
layer,0.009,3,0,34
crisis,0.009,3,0,35
severity,0.009,3,0,36
knowledge,0.009,3,0,37
season,0.009,3,0,38
surplus,0.005,3,0,39
impairment,0.006,4,0,40
ﬁgure,0.006,4,0,41
transition,0.006,4,0,42
integration,0.006,4,0,43
pipe,0.006,4,0,44
hold,0.006,4,0,45
enrolment,0.006,4,0,46
accordion,0.006,4,0,47
mark,0.006,4,0,48
proportion,0.006,4,0,49
railroad,0.009,5,0,50
valuation,0.009,5,0,51
surplus,0.009,5,0,52
inflow,0.007,5,0,53
diversification,0.004,5,0,54
treasury,0.004,5,0,55
profile,0.004,5,0,56
proposition,0.004,5,0,57
pipe,0.004,5,0,58
summer,0.004,5,0,59
project,0.012,6,0,60
discount,0.008,6,0,61
implementation,0.008,6,0,62
loan,0.008,6,0,63
material,0.008,6,0,64
set,0.008,6,0,65
furnish,0.008,6,0,66
choice,0.008,6,0,67
isking,0.008,6,0,68
restructure,0.008,6,0,69
yen,0.007,7,0,70
transfer,0.007,7,0,71
automobile,0.007,7,0,72
employee,0.007,7,0,73
tradeoff,0.007,7,0,74
deterioration,0.007,7,0,75
difficulty,0.007,7,0,76
consiation,0.007,7,0,77
breakdown,0.007,7,0,78
hurane,0.007,7,0,79
loan,0.006,8,0,80
policyhol,0.006,8,0,81
clarity,0.006,8,0,82
man,0.006,8,0,83
yen,0.004,8,0,84
projection,0.004,8,0,85
comparison,0.004,8,0,86
proposition,0.004,8,0,87
land,0.004,8,0,88
possibility,0.004,8,0,89
hedge,0.007,9,0,90
prospect,0.007,9,0,91
comparison,0.005,9,0,92
discip,0.005,9,0,93
